ts,src_ip,src_port,dst_ip,dst_port,proto,service,duration,src_bytes,dst_bytes,conn_state,missed_bytes,src_pkts,src_ip_bytes,dst_pkts,dst_ip_bytes,dns_query,dns_qclass,dns_qtype,dns_rcode,dns_AA,dns_RD,dns_RA,dns_rejected,http_trans_depth,http_request_body_len,http_response_body_len,http_status_code
1748221596.519186,142.251.132.138,443,192.168.18.14,49804,udp,desconocido,0,67,0,desconocido,0,1,67,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221596.543059,192.168.18.14,46284,155.133.244.50,27032,tcp,desconocido,0,54,0,desconocido,0,1,54,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221596.683202,0.0.0.0,0,0.0.0.0,0,desconocido,desconocido,0,60,0,desconocido,0,1,60,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221596.68323,0.0.0.0,0,0.0.0.0,0,desconocido,desconocido,0,60,0,desconocido,0,1,60,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221596.683247,0.0.0.0,0,0.0.0.0,0,desconocido,desconocido,0,60,0,desconocido,0,1,60,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221596.683264,0.0.0.0,0,0.0.0.0,0,desconocido,desconocido,0,60,0,desconocido,0,1,60,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221596.68328,0.0.0.0,0,0.0.0.0,0,desconocido,desconocido,0,60,0,desconocido,0,1,60,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221596.683297,0.0.0.0,0,0.0.0.0,0,desconocido,desconocido,0,60,0,desconocido,0,1,60,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221596.683313,0.0.0.0,0,0.0.0.0,0,desconocido,desconocido,0,60,0,desconocido,0,1,60,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221596.683331,0.0.0.0,0,0.0.0.0,0,desconocido,desconocido,0,60,0,desconocido,0,1,60,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221596.728846,192.168.18.14,49804,142.251.132.138,443,udp,desconocido,0,71,0,desconocido,0,1,71,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221596.922845,142.251.132.138,443,192.168.18.14,49804,udp,desconocido,0,67,0,desconocido,0,1,67,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221597.136395,192.168.18.14,49804,142.251.132.138,443,udp,desconocido,0,71,0,desconocido,0,1,71,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221597.330305,142.251.132.138,443,192.168.18.14,49804,udp,desconocido,0,67,0,desconocido,0,1,67,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221597.539914,192.168.18.14,49804,142.251.132.138,443,udp,desconocido,0,71,0,desconocido,0,1,71,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221597.569375,162.159.133.234,443,192.168.18.14,46254,tcp,desconocido,0,161,0,desconocido,0,1,161,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221597.616874,192.168.18.14,46254,162.159.133.234,443,tcp,desconocido,0,54,0,desconocido,0,1,54,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221597.682903,0.0.0.0,0,0.0.0.0,0,desconocido,desconocido,0,60,0,desconocido,0,1,60,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221597.68293,0.0.0.0,0,0.0.0.0,0,desconocido,desconocido,0,60,0,desconocido,0,1,60,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221597.682948,0.0.0.0,0,0.0.0.0,0,desconocido,desconocido,0,60,0,desconocido,0,1,60,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221597.682964,0.0.0.0,0,0.0.0.0,0,desconocido,desconocido,0,60,0,desconocido,0,1,60,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221597.682981,0.0.0.0,0,0.0.0.0,0,desconocido,desconocido,0,60,0,desconocido,0,1,60,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221597.682998,0.0.0.0,0,0.0.0.0,0,desconocido,desconocido,0,60,0,desconocido,0,1,60,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221597.683015,0.0.0.0,0,0.0.0.0,0,desconocido,desconocido,0,60,0,desconocido,0,1,60,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221597.683031,0.0.0.0,0,0.0.0.0,0,desconocido,desconocido,0,60,0,desconocido,0,1,60,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221597.733815,142.251.132.138,443,192.168.18.14,49804,udp,desconocido,0,67,0,desconocido,0,1,67,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221597.748266,0.0.0.0,0,0.0.0.0,0,desconocido,desconocido,0,60,0,desconocido,0,1,60,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221597.942947,192.168.18.14,49804,142.251.132.138,443,udp,desconocido,0,71,0,desconocido,0,1,71,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221598.137268,142.251.132.138,443,192.168.18.14,49804,udp,desconocido,0,67,0,desconocido,0,1,67,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221598.537182,192.168.18.14,41429,20.69.137.228,443,tcp,desconocido,0,66,0,desconocido,0,1,66,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
